month,投资方,year,industry,num
9,阿里巴巴,2011,6,1
9,腾讯,2013,3,1
9,腾讯,2013,11,1
9,阿里巴巴,2013,12,1
9,腾讯,2013,12,1
9,腾讯,2014,1,3
9,阿里巴巴,2014,3,1
9,腾讯,2014,4,2
9,阿里巴巴,2014,6,1
9,腾讯,2014,7,1
9,腾讯,2014,11,2
9,阿里巴巴,2014,12,1
9,腾讯,2014,15,1
9,腾讯,2014,19,1
9,腾讯,2015,2,2
9,阿里巴巴,2015,3,1
9,腾讯,2015,4,1
9,腾讯,2015,5,3
9,阿里巴巴,2015,6,1
9,腾讯,2015,6,2
9,腾讯,2015,7,1
9,腾讯,2015,11,1
9,阿里巴巴,2015,14,1
9,阿里巴巴,2015,18,1
9,阿里巴巴,2015,19,1
9,腾讯,2016,1,1
9,腾讯,2016,2,2
9,腾讯,2016,3,1
9,阿里巴巴,2016,5,1
9,腾讯,2016,6,1
9,阿里巴巴,2016,9,1
9,腾讯,2016,9,1
9,腾讯,2017,1,5
9,阿里巴巴,2017,2,1
9,腾讯,2017,4,2
9,阿里巴巴,2017,6,2
9,腾讯,2017,7,1
9,阿里巴巴,2017,10,1
9,阿里巴巴,2017,17,1
9,阿里巴巴,2017,19,2
9,阿里巴巴,2018,3,1
9,阿里巴巴,2018,4,1
9,腾讯,2018,4,2
9,阿里巴巴,2018,6,1
9,腾讯,2018,6,1
9,腾讯,2018,8,1
9,阿里巴巴,2018,10,1
9,阿里巴巴,2018,11,1
9,腾讯,2018,11,2
9,腾讯,2018,13,1
9,腾讯,2018,15,1
9,阿里巴巴,2018,17,2
9,腾讯,2018,17,1
9,阿里巴巴,2018,19,1
9,阿里巴巴,2019,1,1
9,腾讯,2019,1,1
9,阿里巴巴,2019,3,1
9,腾讯,2019,3,3
9,阿里巴巴,2019,6,2
9,腾讯,2019,6,1
9,腾讯,2019,7,1
9,阿里巴巴,2019,13,1
9,腾讯,2019,18,1
9,腾讯,2020,2,2
9,腾讯,2020,3,1
9,腾讯,2020,4,1
9,腾讯,2020,7,5
9,腾讯,2020,9,1
9,腾讯,2020,11,1
9,阿里巴巴,2020,15,1
9,腾讯,2020,16,1
9,阿里巴巴,2020,19,1
9,腾讯,2020,21,1
10,腾讯,2010,11,1
10,阿里巴巴,2010,12,1
10,腾讯,2011,5,1
10,阿里巴巴,2012,1,1
10,腾讯,2012,2,1
10,腾讯,2012,5,1
10,腾讯,2012,6,1
10,腾讯,2012,12,1
10,腾讯,2013,2,1
10,腾讯,2013,3,1
10,阿里巴巴,2013,4,1
10,腾讯,2013,4,1
10,阿里巴巴,2013,5,1
10,阿里巴巴,2013,12,1
10,腾讯,2014,4,1
10,阿里巴巴,2014,5,2
10,腾讯,2014,5,1
10,腾讯,2014,6,1
10,腾讯,2014,7,1
10,腾讯,2014,11,1
10,阿里巴巴,2014,12,2
10,腾讯,2015,1,1
10,腾讯,2015,2,1
10,腾讯,2015,8,1
10,腾讯,2015,10,1
10,腾讯,2016,1,1
10,腾讯,2016,2,1
10,阿里巴巴,2016,4,1
10,腾讯,2016,5,2
10,腾讯,2016,10,3
10,腾讯,2016,12,1
10,阿里巴巴,2016,13,1
10,腾讯,2016,13,1
10,腾讯,2016,15,1
10,腾讯,2017,1,6
10,阿里巴巴,2017,3,1
10,腾讯,2017,8,1
10,腾讯,2017,11,1
10,腾讯,2018,1,2
10,腾讯,2018,2,1
10,腾讯,2018,4,1
10,腾讯,2018,5,1
10,阿里巴巴,2018,6,1
10,腾讯,2018,7,1
10,腾讯,2018,9,1
10,腾讯,2018,11,1
10,腾讯,2018,13,1
10,阿里巴巴,2018,14,2
10,腾讯,2019,1,2
10,腾讯,2019,2,1
10,阿里巴巴,2019,3,1
10,腾讯,2019,3,1
10,阿里巴巴,2019,7,1
10,腾讯,2019,7,1
10,腾讯,2019,8,1
10,腾讯,2019,11,1
10,阿里巴巴,2019,20,1
10,腾讯,2020,1,3
10,腾讯,2020,3,1
10,腾讯,2020,8,1
10,腾讯,2020,11,1
10,腾讯,2020,12,1
10,阿里巴巴,2020,14,1
10,腾讯,2020,14,2
10,阿里巴巴,2020,17,1
10,腾讯,2020,17,2
11,阿里巴巴,2010,3,1
11,阿里巴巴,2010,19,1
11,腾讯,2011,1,1
11,阿里巴巴,2011,6,1
11,腾讯,2012,3,1
11,阿里巴巴,2012,11,1
11,阿里巴巴,2014,1,1
11,腾讯,2014,1,1
11,腾讯,2014,2,1
11,阿里巴巴,2014,5,1
11,腾讯,2014,5,1
11,腾讯,2014,6,1
11,腾讯,2014,15,1
11,阿里巴巴,2014,19,1
11,腾讯,2014,19,1
11,腾讯,2015,1,1
11,阿里巴巴,2015,3,1
11,腾讯,2015,3,1
11,阿里巴巴,2015,6,1
11,阿里巴巴,2015,9,1
11,腾讯,2015,9,1
11,腾讯,2015,11,1
11,腾讯,2015,17,1
11,腾讯,2016,2,1
11,腾讯,2016,5,1
11,阿里巴巴,2016,6,1
11,腾讯,2016,6,2
11,腾讯,2016,10,1
11,阿里巴巴,2016,17,2
11,阿里巴巴,2016,19,1
11,腾讯,2017,1,4
11,阿里巴巴,2017,3,1
11,阿里巴巴,2017,4,1
11,腾讯,2017,5,1
11,腾讯,2017,8,1
11,阿里巴巴,2017,10,1
11,腾讯,2017,10,1
11,阿里巴巴,2017,13,2
11,腾讯,2017,13,1
11,腾讯,2017,15,1
11,阿里巴巴,2017,17,2
11,阿里巴巴,2017,20,1
11,腾讯,2018,1,4
11,阿里巴巴,2018,3,1
11,腾讯,2018,3,2
11,阿里巴巴,2018,4,1
11,腾讯,2018,4,2
11,腾讯,2018,6,1
11,腾讯,2018,8,1
11,腾讯,2018,9,1
11,腾讯,2018,10,1
11,阿里巴巴,2018,12,1
11,阿里巴巴,2018,13,1
11,腾讯,2018,13,1
11,阿里巴巴,2018,17,1
11,腾讯,2018,18,1
11,阿里巴巴,2018,20,1
11,腾讯,2019,1,2
11,阿里巴巴,2019,7,1
11,腾讯,2019,7,1
11,腾讯,2019,8,2
11,腾讯,2019,12,1
11,腾讯,2019,14,1
11,腾讯,2019,15,2
11,阿里巴巴,2019,17,1
11,阿里巴巴,2019,19,2
11,腾讯,2019,19,1
11,阿里巴巴,2020,1,1
11,腾讯,2020,2,8
11,阿里巴巴,2020,3,1
11,腾讯,2020,3,4
11,阿里巴巴,2020,6,1
11,腾讯,2020,8,1
11,阿里巴巴,2020,10,1
11,腾讯,2020,13,1
11,阿里巴巴,2020,17,1
11,腾讯,2020,17,1
11,腾讯,2020,19,1
12,腾讯,2010,4,1
12,腾讯,2010,9,1
12,腾讯,2011,2,2
12,腾讯,2011,4,1
12,腾讯,2011,5,1
12,阿里巴巴,2013,1,1
12,腾讯,2013,4,1
12,阿里巴巴,2013,12,2
12,腾讯,2013,12,1
12,阿里巴巴,2013,20,1
12,腾讯,2014,2,3
12,腾讯,2014,3,2
12,阿里巴巴,2014,5,1
12,腾讯,2014,9,1
12,腾讯,2014,10,1
12,腾讯,2014,15,1
12,腾讯,2015,2,1
